11/06/2025 09:45:12.435 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f6g4
11/06/2025 09:45:18.008 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:45:18.009 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e3g3
11/06/2025 09:46:09.046 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (e7g5) to lichess
11/06/2025 09:46:09.615 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:46:09.616 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e7g5
11/06/2025 09:46:15.666 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:46:15.667 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f2f3
11/06/2025 09:46:45.248 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (g5h5) to lichess
11/06/2025 09:46:45.804 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:46:45.805 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g5h5
11/06/2025 09:46:49.686 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:46:49.688 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f1e1
11/06/2025 09:47:38.588 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (g7g6) to lichess
11/06/2025 09:47:39.144 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:47:39.146 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g7g6
11/06/2025 09:47:43.109 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:47:43.111 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f3g4
11/06/2025 09:47:53.203 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (c8g4) to lichess
